GrainID,SchmidFactor,SlipSystem,SlipFamily,TraceAngle_deg,TraceAngle_deg_fin,IsMaxSchmid
1,0.478512812619524,(0001)[1-210],Basal,192.718900209097,-12.718900209097,1
1,0.415768097434662,(-1101)[11-20],Pyramidal <a>,286.48178971633,73.5182102836703,0
1,0.327742044254821,(0-111)[1-21-3],Pyramidal I <c+a>,211.82197152465,-31.8219715246502,0
1,0.319293013304601,(-101-1)[1-210],Pyramidal <a>,301.289391718546,58.7106082814541,0
1,0.3087617970341,(0001)[11-20],Basal,192.718900209097,-12.718900209097,0
1,0.308630265985261,(-1101)[2-1-13],Pyramidal I <c+a>,286.48178971633,73.5182102836703,0
1,0.30511983166087,(-12-1-2)[1-21-3],Pyramidal II <c+a>,4.22464837688754,-4.22464837688754,0
1,0.304700635969984,(-1100)[11-20],Prismatic,319.461062089177,40.5389379108232,0
1,0.276030614175642,(0-111)[11-23],Pyramidal I <c+a>,211.82197152465,-31.8219715246502,0
1,0.2743603822063,(-101-1)[2-1-1-3],Pyramidal I <c+a>,301.289391718546,58.7106082814541,0
1,0.260054907102938,(01-11)[2-1-10],Pyramidal <a>,80.3850577346436,-80.3850577346436,0
1,0.236975619528688,(01-11)[-1-123],Pyramidal I <c+a>,80.3850577346437,-80.3850577346437,0
1,0.220808191843794,(-110-1)[1-21-3],Pyramidal I <c+a>,337.702443471652,22.2975565283479,0
1,0.209458118629289,(-2112)[2-1-13],Pyramidal II <c+a>,265.810852490472,-85.8108524904721,0
1,0.203436459712862,(01-10)[2-1-10],Prismatic,43.951567697087,-43.951567697087,0
1,0.18922502500867,(11-22)[-1-123],Pyramidal II <c+a>,110.711932808702,69.2880671912979,0
1,0.169751015585424,(0001)[-2110],Basal,192.718900209097,-12.718900209097,0
1,0.15743533690484,(-110-1)[2-1-1-3],Pyramidal I <c+a>,337.702443471652,22.2975565283479,0
1,0.143956214388158,(-1011)[11-23],Pyramidal I <c+a>,254.236496429402,-74.2364964294016,0
1,0.14182376357362,(-1011)[1-210],Pyramidal <a>,254.236496429402,-74.2364964294016,0
1,0.118231143529318,(-110-1)[11-20],Pyramidal <a>,337.702443471652,22.2975565283479,0
1,0.10321672909466,(-101-1)[-1-123],Pyramidal I <c+a>,301.289391718546,58.7106082814541,0
