GrainID,SchmidFactor,SlipSystem,SlipFamily,TraceAngle_deg,TraceAngle_deg_fin,IsMaxSchmid
1,0.45714456045301,(-1011)[11-23],Pyramidal I <c+a>,223.670559534704,-43.670559534704,1
1,0.441199532970224,(-1011)[2-1-13],Pyramidal I <c+a>,223.670559534704,-43.670559534704,0
1,0.433129282978709,(01-10)[2-1-10],Prismatic,83.8996186213939,-83.8996186213939,0
1,0.406684965756206,(-1100)[11-20],Prismatic,295.813274334695,64.1867256653046,0
1,0.385714134618884,(-1-122)[11-23],Pyramidal II <c+a>,215.460614332237,-35.4606143322374,0
1,0.363674819083967,(-2112)[2-1-13],Pyramidal II <c+a>,217.699391075948,-37.6993910759479,0
1,0.357441183538812,(0-111)[2-1-10],Pyramidal <a>,206.833407217821,-26.8334072178205,0
1,0.346689692075512,(-1101)[11-20],Pyramidal <a>,210.244964967559,-30.2449649675592,0
1,0.33511811687856,(-101-1)[-1-123],Pyramidal I <c+a>,336.144709687627,23.8552903123731,0
1,0.325781484949409,(-101-1)[2-1-1-3],Pyramidal I <c+a>,336.144709687627,23.8552903123731,0
1,0.284490491663415,(0-111)[11-23],Pyramidal I <c+a>,206.833407217821,-26.8334072178205,0
1,0.258059242369363,(-1101)[2-1-13],Pyramidal I <c+a>,210.244964967559,-30.2449649675592,0
1,0.236163721688437,(11-22)[-1-123],Pyramidal II <c+a>,162.162207489171,17.8377925108292,0
1,0.218757112894494,(-211-2)[2-1-1-3],Pyramidal II <c+a>,344.317219368142,15.6827806318576,0
1,0.147123177457904,(0001)[11-20],Basal,189.9123,-9.91229999999999,0
1,0.142565660547002,(0001)[-2110],Basal,189.9123,-9.91229999999999,0
1,0.119395040990049,(01-11)[2-1-10],Pyramidal <a>,169.679069645883,10.3209303541173,0
1,0.118967638146913,(01-11)[-1-123],Pyramidal I <c+a>,169.679069645883,10.3209303541173,0
1,0.101033727385302,(-110-1)[11-20],Pyramidal <a>,352.900150895867,7.09984910413311,0
1,0.0948355686170903,(-110-1)[2-1-1-3],Pyramidal I <c+a>,352.900150895867,7.09984910413311,0
1,0.0430072710152385,(-1101)[-12-1-3],Pyramidal I <c+a>,210.244964967559,-30.2449649675592,0
1,0.0264443172225033,(-1010)[1-210],Prismatic,279.897195138939,80.1028048610608,0
1,0.0259126536503379,(0-111)[1-21-3],Pyramidal I <c+a>,206.833407217821,-26.8334072178205,0
1,0.0183613136047476,(-1011)[1-210],Pyramidal <a>,223.670559534704,-43.670559534704,0
1,0.015284576527485,(01-11)[-12-1-3],Pyramidal I <c+a>,169.679069645883,10.3209303541173,0
1,0.0144181900290885,(1-21-2)[-12-1-3],Pyramidal II <c+a>,9.97087099093943,-9.97087099093943,0
1,0.0107514914632991,(-101-1)[1-210],Pyramidal <a>,336.144709687627,23.8552903123731,0
1,0.00978548328811422,(-12-1-2)[1-21-3],Pyramidal II <c+a>,9.8639478579956,-9.8639478579956,0
1,0.00709753448044873,(-110-1)[1-21-3],Pyramidal I <c+a>,352.900150895867,7.09984910413311,0
1,0.00455751691090134,(0001)[1-210],Basal,189.9123,-9.91229999999999,0
2,0.473810666179855,(-1101)[2-1-13],Pyramidal I <c+a>,224.701758152741,-44.7017581527409,1
2,0.459348972293218,(-1010)[1-210],Prismatic,258.421553618601,-78.4215536186007,0
2,0.417128692955633,(-1101)[-12-1-3],Pyramidal I <c+a>,224.701758152741,-44.7017581527409,0
2,0.411844804969762,(-2112)[2-1-13],Pyramidal II <c+a>,216.380481359778,-36.3804813597782,0
2,0.36711310204009,(-1011)[1-210],Pyramidal <a>,208.08447491917,-28.0844749191705,0
2,0.365545693296389,(01-10)[2-1-10],Prismatic,306.985540374344,53.0144596256557,0
2,0.343093613315135,(-110-1)[2-1-1-3],Pyramidal I <c+a>,336.140113089942,23.8598869100579,0
2,0.333581580090398,(1-21-2)[-12-1-3],Pyramidal II <c+a>,38.5995260073546,-38.5995260073546,0
2,0.329115639732656,(01-11)[2-1-10],Pyramidal <a>,210.41774856661,-30.41774856661,0
2,0.318067349126545,(-1011)[2-1-13],Pyramidal I <c+a>,208.08447491917,-28.0844749191705,0
2,0.31009648719386,(-110-1)[1-21-3],Pyramidal I <c+a>,336.140113089942,23.8598869100579,0
2,0.256119830369439,(-211-2)[2-1-1-3],Pyramidal II <c+a>,340.690563597744,19.309436402256,0
2,0.224268057463866,(01-11)[-12-1-3],Pyramidal I <c+a>,210.41774856661,-30.41774856661,0
2,0.194460477026248,(-12-1-2)[1-21-3],Pyramidal II <c+a>,345.565881792222,14.4341182077779,0
2,0.153197524659502,(0001)[-2110],Basal,190.181861976329,-10.1818619763292,0
2,0.149362915227101,(-101-1)[2-1-1-3],Pyramidal I <c+a>,346.658136219245,13.3418637807546,0
2,0.138588632516327,(-101-1)[1-210],Pyramidal <a>,346.658136219245,13.3418637807546,0
2,0.136863137541222,(0001)[1-210],Basal,190.181861976329,-10.1818619763292,0
2,0.0938032789968296,(-1100)[11-20],Prismatic,280.935432326759,79.0645676732412,0
2,0.0733171560494819,(0-111)[2-1-10],Pyramidal <a>,175.147469634341,4.85253036565913,0
2,0.0652714764668454,(-1101)[11-20],Pyramidal <a>,224.701758152741,-44.7017581527409,0
2,0.0638040081987848,(0-111)[1-21-3],Pyramidal I <c+a>,175.147469634341,4.85253036565913,0
2,0.0615370888081828,(01-11)[-1-123],Pyramidal I <c+a>,210.41774856661,-30.41774856661,0
2,0.0379974623074334,(-110-1)[11-20],Pyramidal <a>,336.140113089942,23.8598869100579,0
2,0.0290120731335829,(-101-1)[-1-123],Pyramidal I <c+a>,346.658136219245,13.3418637807546,0
