GrainID,SchmidFactor,SlipSystem,SlipFamily,TraceAngle_deg,TraceAngle_deg_fin,IsMaxSchmid
1,0.474958164900989,(-101-1)[-1-123],Pyramidal I <c+a>,308.372228592034,51.6277714079656,1
1,0.463714637913416,(-101-1)[2-1-1-3],Pyramidal I <c+a>,308.372228592034,51.6277714079656,0
1,0.448229007261305,(0-111)[2-1-10],Pyramidal <a>,225.947174698833,-45.9471746988326,0
1,0.433129282978709,(01-10)[2-1-10],Prismatic,83.8996186213939,-83.8996186213939,0
1,0.427252596236047,(-1101)[11-20],Pyramidal <a>,241.365847360682,-61.3658473606821,0
1,0.406684965756206,(-1100)[11-20],Prismatic,295.813274334695,64.1867256653046,0
1,0.389337569664384,(11-22)[-1-123],Pyramidal II <c+a>,132.044893237553,47.9551067624471,0
1,0.36667280613699,(-211-2)[2-1-1-3],Pyramidal II <c+a>,319.1740873575,40.8259126424996,0
1,0.310846232649543,(01-11)[2-1-10],Pyramidal <a>,138.594871101449,41.4051288985514,0
1,0.303498857256638,(-1011)[11-23],Pyramidal I <c+a>,251.429027295964,-71.4290272959642,0
1,0.289901273001527,(-1011)[2-1-13],Pyramidal I <c+a>,251.429027295964,-71.4290272959642,0
1,0.285477990406605,(-110-1)[11-20],Pyramidal <a>,333.716007499272,26.2839925007279,0
1,0.264167949482027,(-1-122)[11-23],Pyramidal II <c+a>,240.580636321537,-60.5806363215374,0
1,0.245380635249632,(-2112)[2-1-13],Pyramidal II <c+a>,247.805614548365,-67.8056145483646,0
1,0.225000322224934,(01-11)[-1-123],Pyramidal I <c+a>,138.594871101449,41.4051288985514,0
1,0.195496706306733,(-110-1)[2-1-1-3],Pyramidal I <c+a>,333.716007499272,26.2839925007279,0
1,0.171427306242019,(0-111)[11-23],Pyramidal I <c+a>,225.947174698833,-45.9471746988326,0
1,0.151248699674852,(-1101)[2-1-13],Pyramidal I <c+a>,241.365847360682,-61.3658473606821,0
1,0.147123177457904,(0001)[11-20],Basal,189.9123,-9.91229999999999,0
1,0.142565660547002,(0001)[-2110],Basal,189.9123,-9.91229999999999,0
1,0.0777621683190319,(-1101)[-12-1-3],Pyramidal I <c+a>,241.365847360682,-61.3658473606821,0
1,0.0688270887394382,(0-111)[1-21-3],Pyramidal I <c+a>,225.947174698833,-45.9471746988326,0
1,0.0583842122730322,(01-11)[-12-1-3],Pyramidal I <c+a>,138.594871101449,41.4051288985514,0
1,0.0424781806099425,(-110-1)[1-21-3],Pyramidal I <c+a>,333.716007499272,26.2839925007279,0
1,0.0264443172225033,(-1010)[1-210],Prismatic,279.897195138939,80.1028048610608,0
1,0.0253682422429381,(-1011)[1-210],Pyramidal <a>,251.429027295964,-71.4290272959642,0
1,0.020976411025257,(-101-1)[1-210],Pyramidal <a>,308.372228592034,51.6277714079656,0
1,0.0146560403840098,(-12-1-2)[1-21-3],Pyramidal II <c+a>,9.79666619849302,-9.79666619849302,0
1,0.0107785910890107,(1-21-2)[-12-1-3],Pyramidal II <c+a>,10.1107249428084,-10.1107249428084,0
1,0.00455751691090134,(0001)[1-210],Basal,189.9123,-9.91229999999999,0
2,0.485654307686276,(-110-1)[2-1-1-3],Pyramidal I <c+a>,308.773475654984,51.2265243450161,1
2,0.468456893833623,(-1011)[1-210],Pyramidal <a>,226.17510537358,-46.17510537358,0
2,0.459348972293218,(-1010)[1-210],Prismatic,258.421553618601,-78.4215536186007,0
2,0.445814648508302,(-110-1)[1-21-3],Pyramidal I <c+a>,308.773475654984,51.2265243450161,0
2,0.416136877178101,(-211-2)[2-1-1-3],Pyramidal II <c+a>,309.290159730184,50.7098402698163,0
2,0.394130299790046,(01-11)[2-1-10],Pyramidal <a>,246.701330863868,-66.7013308638678,0
2,0.365545693296389,(01-10)[2-1-10],Prismatic,306.985540374344,53.0144596256557,0
2,0.336569330549861,(-101-1)[1-210],Pyramidal <a>,310.226395466334,49.7736045336657,0
2,0.335668980458106,(-12-1-2)[1-21-3],Pyramidal II <c+a>,322.101945384661,37.8980546153387,0
2,0.31701492184926,(-1101)[2-1-13],Pyramidal I <c+a>,252.765110271961,-72.7651102719609,0
2,0.285799317142777,(-2112)[2-1-13],Pyramidal II <c+a>,240.794017549155,-60.7940175491553,0
2,0.26873819409682,(-1101)[-12-1-3],Pyramidal I <c+a>,252.765110271961,-72.7651102719609,0
2,0.262484484154381,(-101-1)[2-1-1-3],Pyramidal I <c+a>,310.226395466334,49.7736045336657,0
2,0.246502175874208,(0-111)[2-1-10],Pyramidal <a>,159.296250511893,20.7037494881074,0
2,0.219228408421778,(1-21-2)[-12-1-3],Pyramidal II <c+a>,70.7849548022946,-70.7849548022946,0
2,0.196800525813099,(-1011)[2-1-13],Pyramidal I <c+a>,226.17510537358,-46.17510537358,0
2,0.157657428278666,(0-111)[1-21-3],Pyramidal I <c+a>,159.296250511893,20.7037494881074,0
2,0.153197524659502,(0001)[-2110],Basal,190.181861976329,-10.1818619763292,0
2,0.136863137541222,(0001)[1-210],Basal,190.181861976329,-10.1818619763292,0
2,0.125394807827985,(01-11)[-12-1-3],Pyramidal I <c+a>,246.701330863868,-66.7013308638678,0
2,0.0938032789968296,(-1100)[11-20],Prismatic,280.935432326759,79.0645676732412,0
2,0.0900671546756533,(-1101)[11-20],Pyramidal <a>,252.765110271961,-72.7651102719609,0
2,0.0858622397658021,(01-11)[-1-123],Pyramidal I <c+a>,246.701330863868,-66.7013308638678,0
2,0.082080584427672,(-101-1)[-1-123],Pyramidal I <c+a>,310.226395466334,49.7736045336657,0
2,0.0743265940435777,(-110-1)[11-20],Pyramidal <a>,308.773475654984,51.2265243450161,0
2,0.0542961809586631,(-1011)[11-23],Pyramidal I <c+a>,226.17510537358,-46.17510537358,0
2,0.0255302563043969,(0-111)[11-23],Pyramidal I <c+a>,159.296250511893,20.7037494881074,0
2,0.0163343871182804,(0001)[11-20],Basal,190.181861976329,-10.1818619763292,0
2,0.0160004563128127,(-1-122)[11-23],Pyramidal II <c+a>,193.520944862109,-13.5209448621087,0
2,0.0021034683138159,(11-22)[-1-123],Pyramidal II <c+a>,182.038982264171,-2.0389822641707,0
3,0.466210212239507,(-1100)[11-20],Prismatic,234.23523766363,-54.2352376636296,1
3,0.449094751353805,(-101-1)[2-1-1-3],Pyramidal I <c+a>,300.015768521681,59.9842314783185,0
3,0.43112947625223,(-1101)[11-20],Pyramidal <a>,214.431774327243,-34.431774327243,0
3,0.412312106299845,(-101-1)[-1-123],Pyramidal I <c+a>,300.015768521681,59.9842314783185,0
3,0.391614702254058,(-1011)[2-1-13],Pyramidal I <c+a>,249.994319275448,-69.9943192754475,0
3,0.388881479105679,(-211-2)[2-1-1-3],Pyramidal II <c+a>,292.221486669502,67.7785133304982,0
3,0.385921327311165,(-110-1)[11-20],Pyramidal <a>,275.974114343515,84.0258856564853,0
3,0.385348988035352,(01-10)[2-1-10],Prismatic,139.52606108555,40.4739389144497,0
3,0.362506180190345,(0-111)[2-1-10],Pyramidal <a>,274.408111346995,85.5918886530055,0
3,0.352438393678251,(-1011)[11-23],Pyramidal I <c+a>,249.994319275448,-69.9943192754475,0
3,0.345025532072343,(-2112)[2-1-13],Pyramidal II <c+a>,232.489607374824,-52.4896073748236,0
3,0.323534218159548,(11-22)[-1-123],Pyramidal II <c+a>,138.240179834793,41.7598201652071,0
3,0.31283230888779,(01-11)[2-1-10],Pyramidal <a>,157.719716165356,22.2802838346443,0
3,0.283620957255066,(-1-122)[11-23],Pyramidal II <c+a>,257.163915630661,-77.1639156306611,0
3,0.250043767491795,(-110-1)[2-1-1-3],Pyramidal I <c+a>,275.974114343515,84.0258856564853,0
3,0.228678760966957,(-1101)[2-1-13],Pyramidal I <c+a>,214.431774327243,-34.431774327243,0
3,0.16934386404907,(01-11)[-1-123],Pyramidal I <c+a>,157.719716165356,22.2802838346443,0
3,0.157460757150147,(0-111)[11-23],Pyramidal I <c+a>,274.408111346995,85.5918886530055,0
3,0.0808612242041554,(-1010)[1-210],Prismatic,275.253425275562,84.7465747244381,0
3,0.0730890184233752,(-1011)[1-210],Pyramidal <a>,249.994319275447,-69.9943192754475,0
3,0.068623296061885,(-101-1)[1-210],Pyramidal <a>,300.015768521681,59.9842314783185,0
3,0.0515478617620623,(0001)[-2110],Basal,183.864019762406,-3.86401976240606,0
3,0.0469136660989995,(0001)[11-20],Basal,183.864019762406,-3.86401976240606,0
3,0.0431867959403486,(-110-1)[1-21-3],Pyramidal I <c+a>,275.974114343515,84.0258856564853,0
3,0.0368455050233252,(0-111)[1-21-3],Pyramidal I <c+a>,274.408111346995,85.5918886530055,0
3,0.00463419566306287,(0001)[1-210],Basal,183.864019762406,-3.86401976240606,0
3,0.00409699092568014,(-1101)[-12-1-3],Pyramidal I <c+a>,214.431774327243,-34.431774327243,0
